"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"6619",3,0,0.0013,0.004,0,0.2455,0.7545,"CE"
"6620",3,0,0.0015,0.0039,0,0.2731,0.7269,"CE"
"6621",3,0,0.0019,0.0038,0,0.3323,0.6677,"CE"
"6622",2,0.0026,0,0.0036,0.4198,0,0.5802,"AE"
"6623",3,0,0.0017,0.0047,0,0.2695,0.7305,"CE"
"6624",4,0,0,0.0044,0,0,1,"E"
"6625",3,0,0.0015,0.0046,0,0.2453,0.7547,"CE"
"6626",3,0,0.001,0.0039,0,0.1992,0.8008,"CE"
"6627",3,0,0.001,0.004,0,0.1997,0.8003,"CE"
"6628",4,0,0,0.0044,0,0,1,"E"
"6629",3,0,0.0017,0.0034,0,0.3357,0.6643,"CE"
"6630",3,0,0.0021,0.0039,0,0.348,0.652,"CE"
"6631",3,0,0.0018,0.0041,0,0.3027,0.6973,"CE"
"6632",3,0,0.0012,0.0039,0,0.2314,0.7686,"CE"
"6633",3,0,0.0017,0.0043,0,0.2822,0.7178,"CE"
"6634",3,0,0.0017,0.0041,0,0.2977,0.7023,"CE"
"6635",3,0,0.0012,0.0045,0,0.2082,0.7918,"CE"
"6636",3,0,0.0013,0.0044,0,0.2304,0.7696,"CE"
"6637",3,0,0.0016,0.0045,0,0.257,0.743,"CE"
"6638",3,0,0.0013,0.0042,0,0.2366,0.7634,"CE"
"6639",8,0,0,0.0044,0,0,1,"E"
"6640",3,0,0.0016,0.0043,0,0.2743,0.7257,"CE"
"6641",3,0,0.0013,0.0046,0,0.2232,0.7768,"CE"
"6642",3,0,9e-04,0.0037,0,0.2043,0.7957,"CE"
"6643",3,0,0.0021,0.0041,0,0.3353,0.6647,"CE"
"6644",3,0,0.0015,0.0041,0,0.2631,0.7369,"CE"
"6645",3,0,0.0015,0.0045,0,0.2485,0.7515,"CE"
"6646",3,0,0.002,0.0045,0,0.3052,0.6948,"CE"
