"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"5809",3,0,0.0011,0.0024,0,0.3182,0.6818,"CE"
"5810",6,0.0014,0,0.0035,0.281,0,0.719,"AE"
"5811",2,0.0016,0,0.0029,0.3463,0,0.6537,"AE"
"5812",3,0,0.002,0.0028,0,0.4143,0.5857,"CE"
"5813",3,0,8e-04,0.0029,0,0.2198,0.7802,"CE"
"5814",3,0,9e-04,0.003,0,0.2258,0.7742,"CE"
"5815",3,0,0.0011,0.0036,0,0.2409,0.7591,"CE"
"5816",4,0,0,0.0044,0,0,1,"E"
"5817",6,0.0025,0,0.0028,0.4714,0,0.5286,"AE"
"5818",3,0,0.0015,0.0035,0,0.3035,0.6965,"CE"
"5819",3,0,0.0013,0.0031,0,0.2984,0.7016,"CE"
"5820",2,0.0025,0,0.0026,0.4973,0,0.5027,"AE"
"5821",7,0,0.0018,0.0033,0,0.3572,0.6428,"DE"
"5822",3,0,0.0012,0.0033,0,0.2726,0.7274,"CE"
"5823",3,0,0.0018,0.0038,0,0.3163,0.6837,"CE"
"5824",3,0,0.0018,0.0031,0,0.3602,0.6398,"CE"
"5825",3,0,0.002,0.0032,0,0.3827,0.6173,"CE"
"5826",2,0.0021,0,0.0026,0.444,0,0.556,"AE"
"5827",3,0,0.0014,0.0032,0,0.308,0.692,"CE"
"5828",3,0,0.001,0.003,0,0.2546,0.7454,"CE"
"5829",2,0.0019,0,0.0023,0.4459,0,0.5541,"AE"
"5830",4,0,0,0.0044,0,0,1,"E"
"5831",7,0,0.001,0.003,0,0.2471,0.7529,"DE"
"5832",3,0,0.001,0.0036,0,0.2219,0.7781,"CE"
"5833",6,0.0015,0,0.0035,0.3087,0,0.6913,"AE"
"5834",3,0,0.0017,0.0031,0,0.3525,0.6475,"CE"
"5835",3,0,0.0012,0.004,0,0.231,0.769,"CE"
"5836",2,0.0016,0,0.0035,0.3114,0,0.6886,"AE"
"5837",2,0.0016,0,0.0033,0.3275,0,0.6725,"AE"
"5838",6,0.0018,0,0.0027,0.4051,0,0.5949,"AE"
"5839",2,0.0018,0,0.0037,0.3314,0,0.6686,"AE"
"5840",3,0,8e-04,0.0035,0,0.1832,0.8168,"CE"
"5841",3,0,0.0019,0.0029,0,0.3899,0.6101,"CE"
"5842",3,0,0.0013,0.0026,0,0.335,0.665,"CE"
"5843",2,0.0021,0,0.0023,0.4785,0,0.5215,"AE"
"5844",2,0.0025,0,0.0026,0.4899,0,0.5101,"AE"
"5845",7,0,0.0012,0.0032,0,0.2762,0.7238,"DE"
"5846",7,0,0.0024,0.0021,0,0.5421,0.4579,"DE"
"5847",7,0,0.0011,0.003,0,0.2615,0.7385,"DE"
"5848",3,0,0.0016,0.0034,0,0.3168,0.6832,"CE"
"5849",2,0.0019,0,0.0034,0.3589,0,0.6411,"AE"
"5850",3,0,0.0015,0.0031,0,0.3247,0.6753,"CE"
"5851",2,0.0018,0,0.0033,0.3476,0,0.6524,"AE"
"5852",3,0,0.0014,0.003,0,0.3281,0.6719,"CE"
"5853",2,0.0018,0,0.0032,0.3568,0,0.6432,"AE"
"5854",3,0,0.0015,0.0036,0,0.2969,0.7031,"CE"
"5855",7,0,0.0016,0.0029,0,0.3533,0.6467,"DE"
"5856",2,0.002,0,0.0026,0.4301,0,0.5699,"AE"
"5857",6,0.0021,0,0.0026,0.4501,0,0.5499,"AE"
"5858",2,0.0017,0,0.0028,0.3725,0,0.6275,"AE"
"5859",3,0,0.0014,0.0031,0,0.3114,0.6886,"CE"
"5860",3,0,0.0016,0.0032,0,0.334,0.666,"CE"
"5861",7,0,0.0012,0.0027,0,0.307,0.693,"DE"
"5862",6,0.0025,0,0.0021,0.541,0,0.459,"AE"
"5863",6,0.002,0,0.0028,0.4238,0,0.5762,"AE"
"5864",2,0.0022,0,0.003,0.4235,0,0.5765,"AE"
"5865",7,0,0.0011,0.0035,0,0.2381,0.7619,"DE"
"5866",3,0,0.0018,0.003,0,0.3696,0.6304,"CE"
"5867",2,0.0024,0,0.0029,0.4506,0,0.5494,"AE"
"5868",2,0.0012,0,0.0029,0.2974,0,0.7026,"AE"
"5869",3,0,0.0011,0.0036,0,0.2268,0.7732,"CE"
"5870",2,0.0019,0,0.0034,0.3561,0,0.6439,"AE"
"5871",2,0.0029,0,0.0025,0.5371,0,0.4629,"AE"
"5872",3,0,0.001,0.0033,0,0.2368,0.7632,"CE"
"5873",6,0.0011,0,0.003,0.2687,0,0.7313,"AE"
"5874",6,0.0018,0,0.003,0.374,0,0.626,"AE"
"5875",2,0.0014,0,0.0036,0.2755,0,0.7245,"AE"
"5876",3,0,0.0013,0.0037,0,0.2573,0.7427,"CE"
"5877",7,0,0.0018,0.0028,0,0.3877,0.6123,"DE"
"5878",3,0,0.0012,0.0033,0,0.2624,0.7376,"CE"
"5879",3,0,0.0015,0.0037,0,0.2837,0.7163,"CE"
"5880",3,0,0.0013,0.0035,0,0.2663,0.7337,"CE"
"5881",4,0,0,0.0045,0,0,1,"E"
"5882",3,0,0.0018,0.0031,0,0.3666,0.6334,"CE"
"5883",3,0,0.0011,0.0033,0,0.243,0.757,"CE"
"5884",7,0,8e-04,0.0028,0,0.2193,0.7807,"DE"
"5885",6,0.0019,0,0.0029,0.3962,0,0.6038,"AE"
"5886",2,0.0017,0,0.0022,0.4422,0,0.5578,"AE"
"5887",2,0.0021,0,0.0032,0.3933,0,0.6067,"AE"
"5888",2,0.0014,0,0.0037,0.277,0,0.723,"AE"
"5889",3,0,0.001,0.0032,0,0.2376,0.7624,"CE"
